Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,10.9806,0.5056974783002179
2016년,7월,2016-07-01,11.696,0.599824916561799
2016년,8월,2016-08-01,14.7028,0.4117488909799704
2016년,9월,2016-09-01,12.8911,0.6073891195650818
2016년,10월,2016-10-01,12.3052,0.4180581964851628
2016년,11월,2016-11-01,13.2698,0.3166835347581909
2016년,12월,2016-12-01,15.4165,0.3435912184833669
2017년,1월,2017-01-01,17.1932,0.1513560570548449
2017년,2월,2017-02-01,19.2572,0.3539097543484679
2017년,3월,2017-03-01,16.296,0.3976825366874512
2017년,4월,2017-04-01,17.4373,0.5687514619356928
2017년,5월,2017-05-01,18.7359,0.6735654566242675
2017년,6월,2017-06-01,17.7061,0.6124892993096915
2017년,7월,2017-07-01,19.3569,0.6550017099863201
2017년,8월,2017-08-01,24.0985,0.6390415431074352
2017년,9월,2017-09-01,21.3538,0.6564761734840316
2017년,10월,2017-10-01,21.9733,0.7856922276761045
2017년,11월,2017-11-01,22.4056,0.6884655382899516
2017년,12월,2017-12-01,25.7107,0.6677391106930886
2018년,1월,2018-01-01,31.6314,0.8397622315799269
2018년,2월,2018-02-01,30.3391,0.57546787694992
2018년,3월,2018-03-01,27.2757,0.6737665684830634
2018년,4월,2018-04-01,28.1385,0.6136959276952281
2018년,5월,2018-05-01,26.7909,0.4299233023233471
2018년,6월,2018-06-01,27.1848,0.535335279931775
2018년,7월,2018-07-01,25.2396,0.3039071338902406
2018년,8월,2018-08-01,32.0714,0.3308463182355747
2018년,9월,2018-09-01,22.7249,0.0642087122666692
2018년,10월,2018-10-01,30.3417,0.3808440243386291
2018년,11월,2018-11-01,29.3481,0.3098555718213303
2018년,12월,2018-12-01,32.4545,0.2622954645342212
2019년,1월,2019-01-01,38.8977,0.2297179385041445
2019년,2월,2019-02-01,38.3205,0.263073064131764
2019년,3월,2019-03-01,33.5612,0.2304432150228959
2019년,4월,2019-04-01,33.8085,0.2015032784263553
2019년,5월,2019-05-01,31.8326,0.1881870336569506
